2024-07-10 14:13:01,868 || INFO       || 234  || _base_test      || Samples Seen: 0 || Dataset: 'MNIST' || Train Accuracy: 0.07694999873638153
2024-07-10 14:13:08,796 || INFO       || 234  || _base_test      || Samples Seen: 1 || Dataset: 'MNIST' || Train Accuracy: 0.08623333275318146
2024-07-10 14:13:15,808 || INFO       || 234  || _base_test      || Samples Seen: 3 || Dataset: 'MNIST' || Train Accuracy: 0.08659999817609787
2024-07-10 14:13:22,749 || INFO       || 234  || _base_test      || Samples Seen: 9 || Dataset: 'MNIST' || Train Accuracy: 0.08704999834299088
2024-07-10 14:13:29,692 || INFO       || 234  || _base_test      || Samples Seen: 27 || Dataset: 'MNIST' || Train Accuracy: 0.0887666642665863
2024-07-10 14:13:36,780 || INFO       || 234  || _base_test      || Samples Seen: 81 || Dataset: 'MNIST' || Train Accuracy: 0.09544999897480011
2024-07-10 14:13:43,836 || INFO       || 234  || _base_test      || Samples Seen: 243 || Dataset: 'MNIST' || Train Accuracy: 0.10275000333786011
2024-07-10 14:13:51,036 || INFO       || 234  || _base_test      || Samples Seen: 729 || Dataset: 'MNIST' || Train Accuracy: 0.10365000367164612
2024-07-10 14:13:58,592 || INFO       || 234  || _base_test      || Samples Seen: 2187 || Dataset: 'MNIST' || Train Accuracy: 0.10583333671092987
2024-07-10 14:14:07,261 || INFO       || 234  || _base_test      || Samples Seen: 6561 || Dataset: 'MNIST' || Train Accuracy: 0.12196666747331619
2024-07-10 14:14:19,011 || INFO       || 234  || _base_test      || Samples Seen: 19683 || Dataset: 'MNIST' || Train Accuracy: 0.23188333213329315
2024-07-10 14:14:39,728 || INFO       || 234  || _base_test      || Samples Seen: 59049 || Dataset: 'MNIST' || Train Accuracy: 0.485316663980484
2024-07-10 14:14:47,233 || INFO       || 234  || _base_test      || Samples Seen: 60000 || Dataset: 'MNIST' || Train Accuracy: 0.4865666627883911
