2024-07-10 14:05:16,753 || INFO       || 298  || _param_start_log || Experiment Type: Base
2024-07-10 14:05:16,753 || INFO       || 299  || _param_start_log || Device: CPU
2024-07-10 14:05:16,753 || INFO       || 300  || _param_start_log || Input Dimension: 784
2024-07-10 14:05:16,753 || INFO       || 301  || _param_start_log || Hebbian Layer Dimension: 10
2024-07-10 14:05:16,753 || INFO       || 302  || _param_start_log || Outout Dimension: 10
2024-07-10 14:05:16,753 || INFO       || 303  || _param_start_log || Hebbian Layer Lambda: 15.0
2024-07-10 14:05:16,753 || INFO       || 304  || _param_start_log || Hebbian Layer Gamma: 0.99
2024-07-10 14:05:16,753 || INFO       || 305  || _param_start_log || Hebbian Layer Epsilon: 0.01
2024-07-10 14:05:16,753 || INFO       || 306  || _param_start_log || Hebbian Layer Sigmoid K: 1.0
2024-07-10 14:05:16,753 || INFO       || 307  || _param_start_log || Learning Rule: Orthogonal
2024-07-10 14:05:16,753 || INFO       || 308  || _param_start_log || Inhibition Rule: Relu
2024-07-10 14:05:16,753 || INFO       || 309  || _param_start_log || Weight Growth: Linear
2024-07-10 14:05:16,753 || INFO       || 310  || _param_start_log || Network Learning Rate: 0.01
2024-07-10 14:05:16,753 || INFO       || 311  || _param_start_log || Alpha: 0.0
2024-07-10 14:05:16,753 || INFO       || 312  || _param_start_log || Beta: 1.0
2024-07-10 14:05:16,753 || INFO       || 313  || _param_start_log || Sigma: 1.0
2024-07-10 14:05:16,753 || INFO       || 314  || _param_start_log || Mu: 0.0
2024-07-10 14:05:16,753 || INFO       || 315  || _param_start_log || Param Init: Uniform
2024-07-10 14:05:16,753 || INFO       || 316  || _param_start_log || Start time of experiment: 2024-07-10 14h:05m:16s
2024-07-10 14:07:11,251 || INFO       || 331  || _final_test_log || Training accuracy of model after training for 1 epochs: 0.5566999912261963
2024-07-10 14:07:11,251 || INFO       || 332  || _final_test_log || Testing accuracy of model after training for 1 epochs: 0.5532000064849854
2024-07-10 14:07:11,251 || INFO       || 322  || _param_end_log  || End time of experiment: 2024-07-10 14h:07m:11s
2024-07-10 14:07:11,251 || INFO       || 323  || _param_end_log  || Runtime of experiment: 0h:1m:54s
2024-07-10 14:07:11,251 || INFO       || 324  || _param_end_log  || Total train time of experiment: 0h:0m:21s
2024-07-10 14:07:11,251 || INFO       || 325  || _param_end_log  || Total test time (test acc) of experiment: 0h:0m:9s
2024-07-10 14:07:11,251 || INFO       || 326  || _param_end_log  || Total test time (train acc) of experiment: 0h:0m:55s
